ISBN,Year,Subjects,Publisher,Language
0152001018,1992,"['Trials (Witchcraft)', 'Fiction']",Harcourt Brace Jovanovich,English
0679451463,1996,"['Horror tales', 'Fiction']",Random House,English
0553579606,2000,"['Fiction', 'Government investigators']",Bantam Books,Chinese
0440201926,1987,"['Sisters', 'Fiction']",Dell,English
042511984X,1985,"['Fiction', 'Thriller']",Berkley Publishing,English
0345356365,1985,"['Fiction', 'Shannara (Imaginary place)']",Ballantine Books,English
2070362388,1984,"['Roman', 'Science-fiction']",Folio,French
0553580035,2001,"['Fiction, technological', 'Fiction, thrillers, general']",Bantam,English
0553580337,2001,"['Life on other planets', 'Robots']",Bantam Books,English
0446341916,1970,"['Serial murders', 'Fiction']",Morrow,English
0061013412,1999,"['Police dogs', 'Drug traffic']",HarperPaperbacks,English
0140186522,1995,"['Fiction', 'Romance']",Penguin Books,English
0515119644,1996,"['Paul Madriani (Fictitious character)', 'Fiction']",Jove Books,English
0312140908,1996,"['Death', 'Fiction']",Picador Press,English
0671684027,1990,"['American Science fiction', 'Jean Luc Picard (Fictitious character)']",Pocket Books,English
0375422412,2002,"['Fathers and sons, fiction', 'Gay men, fiction']",Pantheon,English
0061094404,1998,"['Mothers and daughters, fiction', 'Fiction, romance, suspense']",HarperPaperbacks,Vietnamese
0553264613,1987,"['Love stories, American', 'Jewel thieves']",Bantam Books,Russian
0061090891,1993,"['Fiction', 'Fiction, mystery & detective, police procedural']",HarperPaperbacks,English
0451454537,1995,"['Fiction, science fiction, general', 'Fiction, fantasy, general']",Roc,English
1853260789,1993,"['literary fiction', 'French literature']",Wordsworth Classics,English
0609806505,2000,"['Adaptations', 'Arthurian romances']",Three Rivers Press,English
0373834365,2000,"['Alaska, fiction', 'Fiction, romance, general']",Harlequin,English
3423072571,1985,"['Fiction', 'Indians of North America']",dtv,German
0452281091,2001,"['Fiction', 'Conjoined twins']",Plume,English
1551665824,2000,"['Security consultants', 'Legislators']",Mira,English
1576737330,2000,"['Bidden', 'Bible']",Multnomah,English
0679454489,2000,"['Fiction', 'Vampires']",A.A. Knopf,English
0553288342,1990,"['Horror tales', 'Fiction, horror']",Bantam,English
0786867906,2001,"['Lily Burana', 'Stripteasers']",Hyperion,English
0312953615,1994,"['Women sculptors', 'Women journalists']",St. Martin's Paperback,French
0590494457,1993,"['Horror stories', 'Ghosts']","Scholastic, Inc.",English
0385315090,1998,"['Fiction', 'Twins']",Delacorte Press,English
0440215285,1993,"['American Detective and mystery stories', 'Fiction']",Dell Books,English
0684834731,1998,"['Fiction', 'Nursing home patients']",Simon & Schuster,English
0061042935,1993,"['Fiction', 'Horror tales']",HarperTorch,English
0553287303,1991,"['Cities and towns', 'Fiction']",Bantam Books,English
0553569791,1995,"['Trials (Murder)', 'Fiction']",Bantam Books,English
0061044636,1998,"['Man-woman relationships', 'Dating (Social customs)']",HarperPaperbacks,English
3426612704,1999,"['Sound recordings', 'Man-woman relationships']",Droemersche Verlagsanstalt Th. Knaur Nachf. GmbH &,German
0380809362,2001,"['Forgiveness', 'Fiction']",Harper Perennial,English
0312979517,2002,"['Police in fiction', 'Police']",St. Martin's Paperbacks,English
344244554X,1999,"['Fiction', 'Homeless persons']",Goldmann,German
0440220688,1996,"['Fiction', 'Nina Reilly (Fictitious character)']",Dell Pub.,English
0312927746,1992,"['Love stories, American', 'Fiction, romance, contemporary']",St. Martin's Paperbacks,English
0446356832,1989,"['Fiction', 'Nuns']",Warner Books,English
0486268780,1991,"['Manuscripts', 'United States Civil War, 1861-1865']",Dover Publications,English
038550117X,2000,"['Mothers and sons', 'Women musicians']",Doubleday,English
0375410945,2001,"['Vermont in fiction', 'Married people']",Knopf,English
0805054073,1999,"['High school teachers', 'Poets']",Henry Holt,English
0451410947,2003,"['Divorced women', 'Dog owners']",Onyx,English
0671737600,1986,"['Fiction', 'romance']",Pocket Books,English
0671534718,1996,"['Fiction', 'Logan family (Fictitious characters : Andrews)']",Pocket Star Books,English
0060972459,1998,"['Fiction, general', 'Ojibwa Indians']",HarperFlamingo,English
0440224594,1999,"['Social life and customs', 'Fiction']",Dell,English
0375724370,2000,"['Literature', 'Women forensic anthopologists']",Vintage Intenational,Italian
0440223806,2000,"['Fiction', 'Blackthorne family (Fictitious characters)']",,English
0060392827,1999,"['Love', 'Fiction']",Regan Books,English
1551667517,2003,"['Fiction', 'Thriller']",Mira,English
0399134409,1989,"['Clark, john (fictitious character), fiction', 'Ryan, jack (fictitious character), fiction']",New York,English
0425163717,1998,"['Eve Dallas (Fictitious character)', 'Policewomen']",Berkley,English
0441135560,1993,"['Science fiction', 'Telepathy in fiction']",Ace,English
0316287555,1998,"['Fiction', 'Brothers']","Little, Brown and Co.",English
0553278118,1989,"['Physicians', 'Medical students']",Bantam Books,English
0425132951,1992,"['Fiction', 'Thriller']",Berkley Books,English
0425179230,2001,"['Drugs', 'Fiction']",Berkley Books,English
0373218419,2003,"['Fiction', 'Romance']",Silhouette Books,English
0440225817,2000,"['Nina Reilly (Fictitious character)', 'Man-woman relationships']",Island Books,English
0345300203,1994,"['Fiction', 'Friendship']",Ballentine Books,English
0399141928,1996,"['Large type books', 'Fiction']",Putnam,English
0373250215,2002,"['Romance', 'Chick Lit']",Red Dress Ink,English
0061095540,1997,"['Aged women', 'Fiction']",HarperPaperbacks,English
0140441654,1965,"['Utopias', 'Proverbs']",Penguin Classics,English
0679781277,1997,"['Businesspeople', 'Fiction']",Vintage Books,English
0449216861,1989,"['Murder Mystery', 'Historical Fiction']",Fawcett,English
0440217547,1995,"['Novela hogaren as', 'Families']",Dell,English
0671673688,1989,"['Detective and mystery stories', 'Clothing trade']",Pocket Books,English
0316603287,2003,"['Fiction', 'Flight']","Little, Brown and Company",English
0061094110,1996,"['Fiction, legal', 'Morrone, rita (fictitious character), fiction']",HarperTorch,English
0440225590,1999,"['Fiction', 'Illegal arms transfers']",Dell Publishing,English
0679732241,2025,"['American Manuscripts', 'Death']",Penguin,English
0515111317,1993,"['Fiction', 'Inheritance and succession']",Jove Books,English
0375413596,2002,"['Fiction', 'Indian captivities']",A.A. Knopf,English
0752848224,2001,"['Detective and mystery stories', 'Police']",Orion,English
0375412530,2001,"['Novela psicológica', 'Viudas']",Knopf,English
0670896764,2001,"['African American families', 'Fiction']",Viking,English
0425131769,1992,"['Female Infertility', 'Fiction']",Berkley Books,English
0679441018,1995,"['cosmology', 'theology']",Alfred A. Knopf,English
0671042858,1999,"['Little House on the Prairie', 'psychological fiction']",Scribner,English
0812542835,1998,"['Underground homeless persons', 'Fiction']",Tom Doherty Associates,English
0805056645,1999,"['Biography', 'Irish authors']",Owl Books,English
044023574X,2000,"['Custody of children', 'Mothers and daughters']",Random House,English
0451204530,2001,"['Open Library Staff Picks', 'Fiction']",New American Library,English
0452282829,1997,"['Families', 'Family']",Plume,English
0446360589,1990,"['Suicide', 'Kindle County (Imaginary place)']",Warner Books,English
0156628708,1981,"['Fiction', 'Married women']",Harcourt Brace Jovanovich,English
0670878847,1998,"['Fiction', 'Women lawyers']",Viking,English
068480087X,1995,"['Farm life', 'Fiction']",Scribner Paperback Fiction,English
0425155722,1989,"['Computer hackers', 'Detective and mystery stories']",Berkley Bks,English
0425166619,1999,"['Food poisoning', 'Hospitals']",Berkley Books,English
0671003593,1998,"['Open Library Staff Picks', 'Fiction']",Pocket Books,English
0525941673,1998,"['Fiction', 'Mothers and daughters']",Dutton,English
0452283027,2002,"['Villages', 'Fiction']",Plume Book,English
0380716542,2002,"['Mystery', 'Police']",Avon,English
0671864173,1993,"['African American men', 'Friendship']",Pocket Books,English
0446604275,1996,"['Presidents', 'Election']",Warner Books,English
0971263906,2001,,Prairie Valley Films-Literary Division,English
0385315309,1995,"['Fiction', ""Legislators' spouses in fiction""]",Delacorte Press,English
0425147584,1995,"['Open Library Staff Picks', 'Fiction']",Berkley Books,English
0821769278,2001,"['Open Library Staff Picks', 'Fiction']",Kensington Publishing,English
0399133143,1987,"['aliens', 'paranormal fiction']",G. P. Putnam's Sons,English
055358099X,2000,,Bantam Books,English
0743422910,2001,"['John le Carré', 'British']",Scribner,English
0140071814,1995,"['Description and travel', 'Railroad travel']",Penguin (Non-Classics),English
0316789976,1997,"['American fiction', 'New Hampshire']","Little, Brown",English
0515127396,2000,"['Fiction, mystery & detective, general', 'Pickax city (mich. : imaginary place), fiction']",Jove Books,English
0449134482,1988,"['Comanche Indians', 'Fiction']",Fawcett Gold Medal,English
0446609943,2009,"['Detective and mystery stories', 'Open Library Staff Picks']",Grand Central Publishing,English
0515090174,1986,"['Journalists, fiction', 'Koko (fictitious character), fiction']",Jove Books,Russian
0515130966,2001,"['Open Library Staff Picks', 'Government investigators']",Jove Books,English
0440224705,2000,"['V.I. Warshawski (Fictitious character)', 'Traffic accident victims']",Delacorte Press,English
0440241162,2004,"['Fiction', 'Contemporary Romance']",2003.,English
0425179885,2001,"['Computer hackers', 'Criminals']",Berkley Books,English
0345443284,2000,"['Married women', 'Psychological fiction']",Ballantine Books,English
038550926X,2003,"['Fashion editors', 'Women editors']",Doubleday,enm
0451119932,1983,"['Large type books', 'Fiction, general']",Signet,English
0552997889,1999,"['Fiction, general', 'England, fiction']",Bantam Doubleday Dell,English
0345360354,1990,"['Fiction', 'Indians of North America']",Ballantine Books,English
0515120863,1997,"['Fiction', 'Policewomen in fiction']",Jove,English
044990542X,1990,"['American Short stories', 'Short stories']",Fawcett Columbine,English
1551668378,2001,"['Fiction', 'Women astronomers']",Mira,English
0517703386,1996,"['New Thought', 'Success']",Harmony Books,English
0345354915,1987,"['American Fantasy fiction', 'Modern fiction']",Del Rey,English
0767906039,2000,"['Wealth', 'Success in business']",Broadway Books,English
0517595753,1996,"['Cyberspace', 'Humor']","Crown Publishers, Inc.",English
0373078110,1997,"['Fiction', 'Private investigators']",Silhouette Books,English
0349101787,1990,"['Fiction', 'Students']",Abacus,English
0345356950,1990,"['Shannara (imaginary place), fiction', 'Fiction, fantasy, epic']",Ballantine Bks,English
0151002290,1999,"['Suicide', 'Reminiscing in old age']",Harcourt Brace & Co.,English
0312310439,2004,"['Home ownership', 'Poor families']",St. Martin's Griffin,English
0517887940,1996,"['Feng shui', 'Feng-shui']",Crown Trade Paperbacks,English
0449221873,1994,"['Fiction, historical, general', 'Fiction']",Ballantine,English
1551668513,1991,"['Married women', 'Family-owned business enterprises']",Mira,English
0812520475,1986,"['Fiction', 'Science fiction']",Tor,English
0345356748,1987,"['Fiction', 'Science Fiction']",Ballantine Books,English
1551668084,2001,"['Hypnotism', 'Fiction']",Mira,English
0812510488,1992,"['Fiction', 'Fiction, horror']",Tom Doherty Associates,English
0316058211,2001,"['Biography', 'Cats']",Back Bay Books,English
0345367650,1990,"['Arkady Renko (Fictious character)', 'Arkady Renko (Fictitious character)']",Ballantine,English
0345424654,1999,"['Fiction, science fiction, hard science fiction']",Del Rey,English
1551667932,1987,"['Orphans', 'Fiction']",Mira,English
0804108528,1993,,Ivy Books,English
0449000613,1998,"['Villages', 'Identification']",Fawcett Crest,English
1551660504,1988,"['1980s', 'Contemporary Fiction']",Mira Books,English
0345297709,1981,"['Fiction', 'Science Fiction']",Del Rey,English
0812971043,2004,"['Insects', 'Appreciation']",Random House Trade Paperbacks,English
0812969650,2002,"['Middle-aged persons', 'Friends and associates']",Random House Trade Paperbacks,English
0312026633,1988,"['Wit and humor', 'American wit and humor']",St. Martin's Press,English
1551663015,1997,"['Fiction', 'Historical Fiction']",Mira,English
0330336630,1995,"['Fiction', 'Detective and mystery stories']",Pan,English
0836226844,1996,"['Humor', 'Open Library Staff Picks']",Andrews and McMeel,English
034530456X,1983,"['Fantasy', 'Fiction']",Ballantine Books,English
1551664372,1998,"['Fiction', 'Women novelists']",Mira Books,English
0446612944,2003,"['Fiction', 'Interior decorators']",Warner Books,English
0449002551,1999,"['Fiction', 'Women motion picture producers and directors']",Ivy Books,English
0312959842,1996,"['Fiction, mystery & detective, women sleuths', 'Chase, elizabeth (fictitious character), fiction']",St. Martin's Paperbacks,English
0330305735,1990,"['Fiction', 'Traffic accidents']",Picador,English
0345438167,2000,"['Fiction', 'Spouses of clergy']",Ballantine,English
0345310799,1987,"['Atomic bomb', 'Atomic bomb in fiction']",Ballantine Books,English
0345311078,1983,"['Xanth (Imaginary place)', 'Fiction']",Del Ray,English
0330269828,1983,"['Fiction', 'Preparatory school teachers']",Pan,French
0312152175,1997,"['Americans', 'Biographical fiction']",St. Martin's Press,English
0812577701,1998,"['Mcgrail, nuala anne (fictitious character), fiction', 'Fiction, mystery & detective, women sleuths']",Tor Books,English
0963136216,1993,"['Travel', 'Mountain biking']",B Store Pr,English
096291620X,1994,"['Humor', 'Humor (Nonfiction)']",Hysteria Publications,English
0812575962,2001,"['Blackie Ryan (Fictitious character)', 'Catholic Church']",Forge,English
0345396812,1995,"['Archetype (Psychology)', 'Fairy tales']",Ballantine Books,English
0821753096,1996,"['American Love stories', 'Large type books']",Zebra,English
0962197963,2003,"['Science fiction', 'Fiction']",Autodidactic Press,English
034528643X,1980,"['American Science fiction', 'American Fantasy literature']",Ballatine Books,English
0446678112,2002,"['Weddings', 'Friendship']",Grand Central Publishing,English
0312974698,2001,"['Irish American families', 'Lighthouse keepers']",St. Martin's Paperbacks,English
0345425707,1998,"['Social life and customs', 'Fiction']",Ballantine Books,English
0345423631,2000,"['Fiction', 'Werewolves']",Ballantine,English
0192833804,1998,"['Fiction', 'Treasure Island (Imaginary place)']",Oxford University Press,English
0345423496,1998,"['Fiction', 'Thirty-first century in fiction']",Ballantine Books,Catalan
0446691321,2003,"['Family-owned business enterprises', 'Single women']",Warner Books,English
1400034957,2003,"['ritual', 'Death']",Vintage,Spanish
0345428706,2003,"['Science fiction', 'Star Wars fiction']",Ballantine,English
1400051452,2004,"['Mate selection', 'Weddings']",Three Rivers Press,English
0449214923,1983,"['Wealth', 'Success']",Ballantine Books,English
1400033349,2003,"['Fiction', 'Clergy']","Anchor Books, a division of Random House",English
0515136204,2003,"['Fiction, mystery & detective, women sleuths', 'Boston (mass.), fiction']",Jove Books,English
0802135196,1997,"['Actresses', 'Drug abuse']",Grove Press,English
0802136680,1989,"['American Authors', 'Biography']",Grove Press,English
0883659654,1996,"['American Short stories', 'Cats']",Galahad Books,English
0821771167,2002,"['Romance fiction', 'Fiction, romance, contemporary']",Zebra Books,English
0786889756,2001,"['Fiction', 'Police']",Hyperion,English
0802713661,2001,"['Architecture, Renaissance', 'Art']",Penguin Books,English
0802837980,1995,"['Celts', 'Druids and Druidism']",W.B. Eerdmans Pub. Co.,English
0345416325,1998,"['Country musicians', 'Fiction']",Ballantine Books,English
0345433106,2002,"['Physicians', 'Detective and mystery stories']",Fawcett,English
0330392611,2000,"['Divorced people', 'Engineers']",Picador,English
0786889209,1996,,Hyperion,English
0786889004,1994,"['Fiction', 'Private investigators']",Hyperion,English
0886775272,1992,"['Lucid dreams', 'Fiction']",DAW,English
0446673560,1997,"['Fiction', 'Civilization']",Warner Books,English
0449210928,1987,"['Fiction', 'Belletristische Darstellung']",Fawcett,English
0812574737,2001,"['Xanth (Imaginary place)', 'Fiction']",Tor Fantasy,English
0312423772,2003,"['Fiction', 'Girls']",Picador,English
091721403X,1977,['Assassination'],Schick Sunn Classic Books,English
0345386744,1994,"['Shannara (Imaginary place)', 'Fiction']",Ballantine Books,English
0449244741,1982,"['History', 'Fiction']",Fawcett Crest Books,English
0345385993,1996,"['Fiction', 'History']",Ballantine Books,English
0345334302,1985,"['Fiction, science fiction, general', 'Ringworld (imaginary place), fiction']",Del Rey,English
051513225X,2002,"['Castles', 'Fiction']",JOVE,English
0345335406,1985,"['Fiction', 'Coleman family (Fictitious characters)']",Ballantine Books,English
0345385209,1993,"['Fiction', 'People with disabilities']",Del Rey,English
0778320375,2004,"['Suicide', 'Fiction']",Mira,English
0152017984,1999,"['Legends', 'Juvenile fiction']",Magic Carpet Books,English
0812541642,2000,"['Fiction, thrillers, general']",Tor Books,English
0812541626,1999,"['Fiction, fantasy, epic']",Tor Fantasy,English
0449006379,2002,"['Historically correct', 'Historical']","The Ballantine Publishing Group, a div. of Random House, Inc., and simultaneously by Random House of Canada Ltd.",English
0449006557,2001,"['Women detectives', 'Police']",Ballantine Books,English
0312272782,2001,"['Brothers and sisters', 'Fiction']",Thomas Dunne Books,English
0843950757,2002,,Leisure Books,English
0345382293,1995,"['Fiction', 'Women forensic anthropologists']",Ballantine Books,English
0449205061,1993,"['Fiction', 'Middle class men']",Fawcett Crest,English
0771014899,1999,"['Kilbourn, joanne (fictitious character), fiction', 'Fiction, mystery & detective, women sleuths']",M&S,English
1551667509,2003,"['Parapsychologists', 'Paranormal']",Mira,English
0812534832,1994,"['Xanth (Imaginary place)', 'Fiction']",Tor Books,English
0312982917,2002,"['Fiction', 'Women detectives']",St. Martin's Minotaur,English
0345379365,1992,"['Women journalists', 'Fiction']",Ballantine Books,Italian
0345351959,1988,"['Movies', 'Motion Pictures']",Ballantine Books,English
0345460685,2003,,Ballantine Books,English
0345463153,2003,,Ballantine Books,English
0515129240,2000,"['Breast', 'Cancer']",Jove Books,English
0449207668,1986,"['Women detectives', 'Police']",Ballantine Books,English
0786863404,1998,"['American wit and humor', 'Wit and humor']",Hyperion,English
0805071849,2002,"['American Novelists', 'American Authors']",Holt Paperbacks,English
0316815837,2001,"['Married women', 'Reminiscing in old age']","Little, Brown",English
0515133701,2002,"['Fiction', 'Identification']",Jove,English
0805019367,1994,"['Fiction', 'Kinsey Millhone (Fictitious character)']",Henry Holt and Co.,English
0879518340,1998,"['History', 'Jews']",Overlook Press,English
0449209733,1988,"['American fiction', 'Fiction, espionage']",Fawcett Crest,English
0515117617,1995,"['Fiction', 'Bishops']",Jove Books,English
0345440781,2001,"['Fantasy fiction', 'Fiction']",Ballantine Pub. Group,English
0156006219,1998,"['Fiction', 'Magicians']",Harcourt Brace,English
0312979584,2002,"['Police', 'Ichirō Sano (Fictitious character)']",St. Martin's Paperbacks,English
0786817089,2002,"['science fiction', 'Secuestro']",Miramax Books,English
0786808284,2002,"['Historical Fiction', 'Young adult fiction']",Hyperion Books for Children,English
0525944885,2001,"['Domestic fiction', 'Scottish Americans']",Dutton,English
1551666537,1989,"['Man-woman relationships', 'Fiction']",MIRA Books,English
0316748641,2002,"['Social life and customs', 'Description and travel']",Back Bay Books,English
0312254997,2000,"['Fiction', 'Popular music']",Picador USA/Henry Holt and Co.,English
034532532X,1980,"['Politics and government', 'Fiction']",Ballantine Books,English
0312980264,2002,"['Private investigators', 'Alex McKnight (Fictitious character)']",St. Martin's Paperbacks,English
044922368X,1995,"['Investigative reporting', 'Fiction']",Fawcett Crest,English
0312981260,2002,"['Linguists', 'Incas']",St. Martin's Paperbacks,English
0805066225,2000,"['History', 'Influenza']",Henry Holt and Co.,English
051510521X,1991,"['Fiction', 'Love stories']",Jove Books,English
0312981546,2002,"['Fiction, general']",St. Martin's Paperbacks,English
0446611360,2001,"['Journalists', 'Serial murders']",Warner Books,English
0786004509,1997,"['Kidnapping', 'Fiction']",Kensington Pub. Corp.,English
0843947616,2000,"['Fiction', 'Joe Keough (Fictitious character)']",Dorchester,English
0312252943,2000,"['Humorous stories', 'Documentary films']",St. Martin's Press,English
078601489X,2003,"['Fiction, mystery & detective, general', 'Fiction, psychological']",Pinnacle,English
2253005274,1971,"['Foreign language--French--fiction', 'French language']",Fayard,French
3257062001,1999,"['Fiction', 'Women novelists in fiction']","Diogenes Verlag, Zürich",German
0395257301,1977,"['Fantasy fiction', 'Short stories']",Houghton Mifflin Company,English
006103083X,2000,"['Aging', 'Cooking & Food']",ReganBooks,English
0671742949,1991,"['Fiction', 'Terrorism']",Pocket Books,English
0395875145,1998,"['Canadian Short stories', 'American Short stories']",Houghton Mifflin,English
0441009425,2000,"['Fiction, science fiction, general', 'Fiction']",Orion Publishing Group,Russian
0553290320,1991,"['Psychological fiction', 'Fiction, romance, historical']",Bantam Books,English
2290313238,2001,"['The Realm of the Elderlings', 'The Farseer Trilogy']",J'ai lu,French
0452269865,1992,"['Legislators', 'Drowning victims']",Plume,English
3257214367,1986,,Diogenes,German
3257218699,1990,,Diogenes Verlag,German
0671733354,1985,"['Success', 'Worry']",Pocket Books,English
0399140433,1996,"['Fiction', 'Paul Madriani (Fictitious character)']",Putnam Adult,English
0061020362,1999,"['Tales of Einarinn', 'Wizards']",Eos,English
0061031429,2002,"['Homing pigeons', 'Trials (Murder)']",HarperTorch,English
0441132456,1990,"['Fiction, science fiction, hard science fiction', 'Murder']",Ace Books,English
0385508719,2003,"['Kanker', 'Cancer']",Broadway Books,English
2253076406,1992,,Albin Michel,French
2070414574,2002,,Distribooks,French
0385720106,1999,"['Fiction', 'Drowning']",Anchor,English
0385720114,2000,"['Fiction', 'Interracial marriage']",Anchor Books,English
0061091227,1993,"['Actors, biography', 'Actors, united states']",Harpercollins (Mm),English
006108185X,1994,"['Women in radio broadcasting', 'Fiction']",HarperCollins,English
0061057908,1999,"['Fiction', 'Science Fiction']",Eos,English
0671867318,1992,"['Pitt, Dirk (Personaje literario)', 'Open Library Staff Picks']",Pocket Books,English
0671749412,1991,"['German fiction', 'Fiction']",Pocket Books,English
2253140503,1996,,LGF,French
2253154202,2003,,Le Livre De Poche,French
0451192311,1998,"['Fiction', 'Women detectives']",Signet,English
0394742117,1985,"['Social life and customs', 'Description and travel']",Vintage Books,English
0671769669,1993,"['Social values', 'Study and teaching']",Simon & Schuster,English
3257231156,2000,"['Wallfahrt', 'Reisebericht']","Diogenes Verlag AG,Switzerland",German
0441005136,1998,"['Fiction, general']",Ace,English
3257232861,2001,,Diogenes Verlag,German
0440479002,1983,"['Frontier and pioneer life', 'Indians of North America']",Dell,English
0671648918,1990,"['Jealousy', 'Fiction']",Poseidon Press,English
0553342762,1987,"['Adventure stories, American', 'American Adventure stories']",Bantam Books,English
0399150811,2004,"['United States in fiction', 'United States. Marine Corps']",G. P. Putnam's Sons,English
0399150900,2003,"['Washington (D.C.)', 'Legislators']",G.P. Putnam's Sons,English
0451198387,2000,"['Fiction', 'Gail Connor (Fictitious character)']",Signet,English
0451199650,2000,"['Fiction, mystery & detective, police procedural', 'Woo, april (fictitious character), fiction']",Signet,English
0425067947,1950,"['Fiction', 'Hercule Poirot (Fictitious character)']",Berkley Books,English
0399144331,1998,"['Fiction', 'Police chiefs']",Putnam,English
0425089037,1986,"['Jane Marple (Fictitious character)', 'Fiction']",Berkley Books,English
0440423376,1987,"['Eggs', 'Triceratops']",Dell Yearling Book,English
0425091031,1986,"['Biography', 'Rock musicians']",Berkley Books,English
0440416248,2000,,Yearling,English
067152609X,1997,"['collectionID:STshatner', 'Fiction']",Star Trek,English
0671656155,1997,"['FICTION / Science Fiction / General', 'FICTION / Science Fiction / Adventure']",Baen Books,English
0671657151,1988,"['Higher Education', 'Philosophy']",Simon and Schuster,English
0440925592,1980,"['Fiction', 'Juvenile Fiction']","Dell,c",English
0671665707,1996,"['Biography', 'Casino (Motion picture)']",Pocket Star Books,English
0061006629,1993,"['Women journalists', 'Detectives']",HarperPaperbacks,English
0399147365,2001,"['Mystery', 'Private investigators']",G.P. Putnam's Sons,English
0399147357,2001,"['Family secrets', 'Death']",G.P. Putnam's Sons,English
0061007153,1993,"['Man-woman relationships', 'English Short stories']",HarperTorch,English
3404141970,1999,"['Fiction, thrillers, supernatural', 'Wolves, fiction']",Bastei Lübbe,German
0671690590,1992,"['Horror stories', 'Novelists']",Pocket Books,English
0553295101,1991,"['Life', 'Conduct of life']",Prelude Press,English
0399145664,1999,"['Runaway teenagers', 'Sunny Randall (Fictitious character)']",G.P. Putnam's Sons,English
340411566X,1990,,Gustav Lübbe,English
0671708376,1991,"['American Science fiction', 'Star Trek fiction']",Pocket Books,English
0671708635,2003,"['Success- Psychological aspects', 'Character']",Free Press,Korean
006101253X,1997,"['Fiction, general', 'Rich people']",HarperTorch,English
0452265347,1990,"['American drama (dramatic works by one author)', 'Drama']",Plume,English
0452280362,2000,"['Open Library Staff Picks', 'Fiction']",Plume,English
0425099334,1985,"['Fiction, suspense', 'Fiction, horror']",Berkley Books,Dutch
0684803798,1998,"['Fiction', 'Private investigators']",Simon & Schuster,English
158062524X,2001,"['American Short stories', 'Social life and customs']",Adams Media Corp.,English
158062748X,2002,"['Religious life', 'Women']",Adams Media Corp.,English
0871138433,2002,"['Teenage girls', 'Marginality, Social']",Atlantic Monthly Press,English
0380802317,2000,"['Fiction', 'Ficción']",HarperCollins,English
1582343047,2003,"['Gastronomy', 'Cooking']",Bloomsbury,English
0684803143,1999,"['Fiction', 'Rapture (Christian eschatology)']",Simon & Schuster,English
0380795981,2000,"['Weddings', 'Madeline Bean (Fictitious character)']",Avon,English
0684802058,1995,"['Case studies', 'Murder']",Simon & Schuster,English
158542160X,2002,"['Simplicity', 'Conduct of life']",J.P. Tarcher/Putnam,English
0380806576,2000,"['Fiction', 'Time travel']",Spike Books,English
0380807939,2000,"['Romance fiction', 'Fiction']",Avon Books,English
006109594X,1998,"['Nuclear aircraft carriers', 'Nuclear terrorism']",HarperCollins,English
0446522570,1997,"['Fiction', 'Boys']",Warner Books,English
0684853302,2003,"['Rich people', 'Social life and customs']",Simon & Schuster,English
0684853299,2000,"['Penal colonies', 'Prisoners']",Simon & Schuster,English
0446524565,1999,"['Life skills guides', 'Women']",Warner Books,English
0684849739,1998,"['Prophecies', 'Ciphers in the Bible']",Simon & Schuster,English
0684848465,1999,"['Alexandra Cooper (Fictitious character)', 'Art']",Scribner,English
0380790904,1998,"['Romance', 'Fiction']",Avon,English
0553251473,1986,"['Biography', 'Automobile industry and trade']",Bantam Books,English
0380792923,1999,"['Science fiction', 'Virtual reality']",Avon Eos,English
0380793253,2000,"['Fiction', 'Mystery']",Avon,English
0380793660,1999,"['Sisters', 'Women detectives']",Avon Books,English
0553251139,1985,"['Fiction, espionage', 'Fiction, thrillers']",Bantam,English
0684830426,2018,"['Married people, fiction', 'American fiction (fictional works by one author)']",Scribner Classics,English
0380818205,2001,"['Fiction', 'Historical Fiction']",Avon Books,English
1841953229,2002,"['Fiction', 'Fiction, general']",Canongate,English
038547508X,1995,"['Humor', 'Letters']",Doubleday,English
1865084182,2001,"['Fiction', 'Identity (Psychology)']",Allen & Unwin (Australia) Pty Ltd,English
0553272543,1971,"['Manners and customs', 'Fiction']",Bantam Books,English
0679456996,1997,"['Fiction, general', 'California, fiction']",Random House,English
0679455116,1997,"['Fiction', 'Art thefts']",A.A. Knopf,English
0679445102,1995,"['Relationship addiction', 'Fiction']",Random House,English
0553275720,1988,"['Fiction in English', 'American Science fiction']",Bantam Books,English
0553276182,1995,"['Fiction, medical', 'Fiction, thrillers']",Bantam,English
0380819570,2001,"['Women', 'Time travel']",Avon Books,English
0061099279,1991,"['Divorced women', 'Fiction']",HarperCollins,English
0385487622,1997,"['Religious aspects of Weight loss', 'Weight loss']",Doubleday,English
0385488181,1997,"['Mountaineering', 'Alpinisme']",Anchor Books,English
0061098027,2001,"['United States', 'United States. Federal Bureau of Investigation']",Avon Books,English
0385492243,2000,"['Fiction', 'Women teachers']",Doubleday,English
067941603X,1997,"['Women, sexual behavior', 'Adolescent girls']",Random House,English
0385323638,1999,"['AIDS (Disease)', 'Gay men']",Dell Publishing,English
0385319444,1999,"['Social life and customs', 'Legislators']",Delta Trade Paperbacks,English
0679729798,1990,"['Americans', 'Couples']",Vintage Books,English
0064405109,1994,"['Farm life, fiction', ""Children's fiction""]",HarperCollins,English
0385314744,1996,"['Humor', 'Politics and government']",Delacorte Press,English
0446363251,1991,"['Alexandra Ripley', 'Sequel']","Warner Books, a Time Warner Company",English
038529929X,1999,"['Fiction', 'Government investigators']",Delacorte Press,English
1853262005,1993,"['English Translations', 'Russian literature']",Wordsworth Edns.,English
