ISBN,Title,Author,Year,Publisher,TotalRating,Subjects,Language
0553211757,Crime and Punishment (Crime &amp; Punishment),Fyodor Dostoevsky,1984,Bantam,12,"['Murder', 'Remorse']",Ukrainian
0060931914,Demian: The Story of Emil Sinclair's Youth (Perennial Classics),Hermann Hesse,1999,Perennial,8,"['Teenage boys', 'Translations into English']",English
0393318680,Filth,Irvine Welsh,1998,W.W. Norton &amp; Company,7,"['dark', 'comedy']",English
0590409433,Fallen Angels,Walter Dean Myers,1991,Scholastic Paperbacks,7,"['Fiction', 'Vietnamese Conflict, 1961-1975']",English
0515093556,Belinda,Anne Rice,1994,Jove Books,24,"['Fiction', 'Middle-aged men']",English
2253003964,Dix petits nègres,Agatha Christie,2002,LGF,2,"['Roman policier', 'French language materials']",French
0399151850,The Queen of the South,Arturo Perez-Reverte,2004,Putnam Publishing Group,5,"['Women drug dealers', 'Drug traffic']",English
0385722206,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,2002,Anchor,129,"['Books and reading', 'Boys']",English
0061095540,Marrying Mom,Olivia Goldsmith,1997,HarperTorch,14,"['Aged women', 'Fiction']",English
8817106259,Seta,Alessandro Baricco,2001,Rizzoli - RCS Libri,15,"['Novela italiana', 'Fiction']",Italian
0679732411,Gift from the Sea,Anne Morrow Lindbergh,1991,Pantheon Books,30,"['Life', 'Ontology']",English
0446606243,The Tenth Justice,Brad Meltzer,1998,Warner Books,16,"['Fiction', 'Law clerks']",English
0316785261,The Fig Eater : A Novel,Jody Shields,2001,Back Bay Books,16,"['Police', 'Police spouses']",English
0140049975,East of Eden,John Steinbeck,1984,Penguin Books,12,"['migrant labor', 'historical fiction']",English
014062080X,The Scarlet Letter (Penguin Popular Classics),Nathaniel Hawthorne,1994,Penguin Books Ltd,5,"['Fiction', 'Puritans']",English
0425174808,Tom Clancy's Op-Center: Divide and Conquer (Tom Clancy's Op Center (Paperback)),Tom Clancy,2000,Berkley Publishing Group,15,"['United States. President', 'Crisis management in government']",English
0061002860,The Murder of Roger Ackroyd,Agatha Christie,1991,Harpercollins,2,"['detective fiction', 'mystery']",English
884590184X,Siddharta Romanzo Versione Di M Mila,Hermann Hesse,1973,Adelphi Book Shop Ltd,17,"['Alegorías', 'Buddha (The concept)']",Italian
0140390847,"Moby-Dick Or, the Whale (Penguin Classics)",Herman Melville,1992,Penguin Books,7,"['American Sea stories', 'Mentally ill']",English
0451202856,Nothing but the Truth,John T. Lescroart,2001,Signet Book,14,"['Mystery', 'Dismas Hardy (Fictitious character)']",English
0312274971,Hardcase,Dan Simmons,2001,St. Martin's Minotaur,2,"['Fiction', 'Organized crime']",English
0886777461,The Golden Key,Melanie Rawn,1997,Daw Books,2,"['Fiction', 'Painters']",English
0767902912,An Equal Music,Vikram Seth,1999,Bantam Dell Pub Group,5,"['Generals', 'Juvenile literature']",English
039571091X,Dakota: A Spiritual Geography,Kathleen Norris,1993,Houghton Mifflin,7,"['Homes and haunts', 'Civilization']",English
0395860318,The Distance from the Heart of Things,Ashley Warlick,1997,Mariner Books,2,"['Families', 'Fiction']",English
0192833642,The Mill on the Floss (Oxford World's Classics),George Eliot,1998,Oxford University Press,3,"['Brothers and sisters', 'Women clergy']",English
1860463312,Miss Smilla's Feeling for Snow,Peter Heg,1997,Havill Pr,4,,English
0142001430,Year of Wonders,Geraldine Brooks,2002,Penguin Books,88,"['Fiction', 'Plague in fiction']",English
0609809547,Tales of a Female Nomad: Living at Large in the World,Rita Golden Gelman,2002,Three Rivers Press (CA),21,"['Voyages and travels', 'Journeys']",English
0440218667,The Select,F. Paul Wilson,1995,Dell,5,"['Medical students', 'Teaching hospitals']",English
8484036308,Así habló Zaratustra/ Más allá del bien y el mal/ El anticristo/El ocaso de los ídolos,Friedrich Nietzsche,2000,Edimat Libros,2,"['Philosophy', 'Nietzsche, friedrich wilhelm, 1844-1900']",Spanish
8477201447,El Alquimista,Paulo Coelho,1996,Aims Intl Books,3,"['Translations into Indonesian', 'Voyages and travels']",Spanish
0142000671,Of Mice and Men,John Steinbeck,2002,Penguin Books,4,"['contemporary fiction', 'literary fiction']",English
0425192792,Goddess of the Sea (Berkley Sensation),P. C. Cast,2003,Berkley Publishing Group,4,"['Fiction', 'Mermaids']",English
0821774352,His Eternal Kiss,Karla Hocker,2003,Kensington Publishing Corporation,2,"['Fiction, Romance, Historical, Regency, Vampire love', 'Anthology']",English
0345463404,The Defiant Hero,SUZANNE BROCKMANN,2003,Ivy Books,6,,English
0449006379,Lord of Fire,Gaelen Foley,2002,Ivy Books,7,"['Historically correct', 'Historical']",English
0060580208,Held Captive : The Kidnapping and Rescue of Elizabeth Smart,Maggie Haberman,2003,Avon,4,"['Kidnapping', 'Case studies']",English
0425191060,Still Life With Murder (Gilded Age Mysteries (Berkley)),P. B. Ryan,2003,Berkley Publishing Group,2,"['Children of the rich', 'Fiction']",English
0743458125,Top O' the Mournin' : A Passport to Peril Mystery,Maddy Hunter,2003,Pocket Books,2,"['Americans', 'Fiction']",English
0312984820,Night Embrace (Dark-Hunter),Sherrilyn Kenyon,2003,St. Martin's Paperbacks,13,"['Fiction', 'Immortalism']",English
0380764008,Grime and Punishment (Jane Jeffry Mysteries (Paperback)),Jill Churchill,1992,Avon,8,"['Women detectives', 'Fiction']",English
0060549270,A Greek God at the Ladies' Club (Avon Romance),Jenna McKnight,2003,Avon,7,"['Romance', 'Fiction']",English
0505525305,A Girl's Guide to Vampires,Katie Macalister,2003,Love Spell,6,"['Man-woman relationships', 'Vampires']",German
0373218222,When Darkness Falls,Tanith Lee,2003,Silhouette,2,"['Werewolves', 'Demonology']",English
0679777601,Confucius Lives Next Door: What Living in the East Teaches Us About Living in the West,T. R. Reid,2000,Vintage Books USA,2,"['New York Times reviewed', 'Confucius']",English
0060505249,Where's My Hero?,Lisa Kleypas,2003,Avon Books,5,"['Fiction', 'Historical Romance']",English
0425191257,Edge of the Moon (Berkley Sensation),Rebecca York,2003,Berkley Publishing Group,5,"['Romance', 'Werewolves']",English
0451458923,"Summer Knight (The Dresden Files, Book 4)",Jim Butcher,2002,Roc,7,"['Harry Dresden (Fictitious character)', 'Fiction']",English
0553800914,The Search,Iris Johansen,2000,Bantam Books,5,"['Search dogs', 'Fiction']",English
080410526X,All I Really Need to Know,ROBERT FULGHUM,1989,Ivy Books,93,['Life'],English
031242227X,Running with Scissors: A Memoir,Augusten Burroughs,2003,Picador USA,76,"['Social life and customs', 'American Novelists']",English
0553250256,Catcher in the Rye,Salinger,1984,Bantam Books,16,"['fictional works', 'Runaway teenagers']",English
0440241812,Shopaholic Takes Manhattan,SOPHIE KINSELLA,2002,Dell Publishing,10,"['Fiction', 'Shopping']",English
0767914767,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2004,Broadway Books,23,"['Fashion editors', 'Women editors']",English
0060989270,Tommy's Tale : A Novel,Alan Cumming,2003,Regan Books,2,"['Fiction', 'Fatherhood']",English
0140061401,July's People,Nadine Gordimer,1982,Penguin Books,5,"['Race relations', 'Fiction']",English
0393310329,Maurice,E. M. Forster,1993,W. W. Norton &amp; Company,3,"['Fiction', 'Gay men']",English
0679721037,Hiroshima,John Hersey,1989,Vintage Books USA,26,"['Kernwapens', 'World War, 1939-1945']",English
0142437204,Jane Eyre (Penguin Classics),Charlotte Bronte,2003,Penguin Books,5,"['Fiction', 'Romance']",English
0440219892,Earthshine: A Novel,Theresa Nelson,1996,Laurel-Leaf Books,2,"['Fathers and daughters', 'Juvenile fiction']",English
1555834930,Blue Lawn,William Taylor,1999,Alyson Pubns,2,"['Coming of age', 'Homosexuality']",English
006093090X,The Night Listener : A Novel,Armistead Maupin,2001,Perennial,18,"['Fiction', 'Fiction, psychological']",English
055321148X,Dracula,Bram Stoker,1983,Bantam,2,,Spanish
038533494X,Sometimes I Dream in Italian,Rita Ciresi,2001,Delta,6,"['Fiction', 'Italian American families']",English
0964109964,The Front Runner,Patricia Nell Warren,1996,Wildcat Press,3,"['Gay men', 'Fiction in English']",English
0553212524,"20,000 Leagues Under the Sea (Bantam Classics)",Jules Verne,1985,Bantam,4,"['Toy and movable books', 'Fiction']",English
0553251503,Soulmates,Jess Stearn,1990,Bantam Books,3,"['Occultism', 'Parapsychology']",English
0393321096,The Abyssinian: A Novel,Jean-Christophe Rufin,2000,W.W. Norton &amp; Company,3,"['Consuls', 'Physicians']",English
8432216062,El Perfume: Historia De UN Asesino,Patrick Suskind,2003,Editorial Seix Barral,6,"['Historical fiction', 'psychological thriller']",Spanish
0553574132,Star Wars: Shadows of the Empire,Steve Perry,1998,Spectra Books,8,"['Fiction', 'Han Solo (Fictitious character)']",English
038071681X,Ghost Girl: The True Story of a Child in Peril and the Teacher Who Saved Her,Torey Hayden,1992,Avon,5,"['Mental health', 'Abused children']",English
088029261X,Complete Sherlock Holmes,Arthur Conan Doyle,1988,Barnes Noble,5,"['Action & Adventure Fiction', 'Adventure stories']",English
0517053586,Works of Edgar Allan Poe,Edgar Allan Poe,1992,Gramercy Books,2,"['Laments', 'Narrative poetry']",English
0375706682,Dhalgren (Vintage),Samuel R. Delany,2001,Vintage Books USA,2,"['City and town life', 'Fiction']",English
0140270590,A New Song (Mitford Years (Paperback)),Jan Karon,2000,Viking Books,24,"['Literature', 'Fiction']",English
0440235596,Tara Road,Maeve Binchy,2000,Dell Publishing Company,95,"['Ehebruch', 'Ehefrau']",English
034540498X,Final Judgment,Richard N. Patterson,1996,Ballantine Books,2,,unknown
0671619373,LADY BOSS,Jackie Collins,1990,Simon &amp; Schuster,5,"['Fiction', 'Lucky Santangelo (Fictitious character)']",English
8845249778,Le Ore,Micheal Cunningham,2003,Distribooks Inc,4,,Italian
2070419657,Soie,Alessandro Baricco,2001,Gallimard,7,"['Novela italiana', 'Fiction']",French
0943734150,Peace Pilgrim Her Life and Work In Her Own,Peace Pilgrim,1994,Ocean Tree Books,4,"['Biography', 'Pacifists']",English
0898861098,Miles from Nowhere: A Round the World Bicycle Adventure,Barbara Savage,1985,Mountaineers Books,5,"['Bicycle touring', 'Recreation']",English
0964858401,North Carolina : A Guide to Backcountry Travel &amp; Adventure,James Bannon,1995,Out There Press,2,"['Guidebooks', 'Outdoor recreation']",English
0679826718,"The Tiger in the Well (Sally Lockhart Trilogy, Book 3)",PHILIP PULLMAN,1992,Laurel Leaf,5,"['Fiction', 'Jews']",English
0767904893,Women of the Pleasure Quarters: The Secret History of the Geisha,Lesley Downer,2001,Broadway Books,2,['Geishas'],English
0679733167,Sexing the Cherry (Vintage International),Jeanette Winterson,1991,Vintage Books USA,6,"['London (England), fiction', 'Fiction, fantasy, historical']",English
0375724621,Up at the Villa,W. Somerset Maugham,2000,Vintage Books USA,2,"['Fiction', 'British']",English
059045563X,Teeth Week,Nancy Alberts,1993,Scholastic Paperbacks (Mm),2,"[""Children's fiction"", 'Teeth, fiction']",English
0375504907,Reading Lolita in Tehran : A Memoir in Books,AZAR NAFISI,2003,Random House,16,"['Sociology', ""Professeurs d'anglais""]",English
0156907380,To the Lighthouse,Virginia Woolf,1978,Harvest Books,3,"['Fiction', 'Married people']",English
0142000485,My Little Blue Dress,Bruno Maddox,2002,Penguin Books,9,"['Social life and customs', 'Fiction']",English
1584790660,My Cat Forgets Who Pays the Rent,Sandra Magsamen,2001,"Stuart, Tabori and Chang",2,,English
1573245038,"The Little Book of Letting Go: A Revolutionary 30-Day Program to Cleanse Your Mind, Lift Your Spirit and Replenish Your Soul",Hugh Prather,2000,Conari Press,3,"['Self-help techniques', 'Self-actualization (psychology)']",English
061810450X,The Wind Done Gone: A Novel,Alice Randall,2001,Houghton Mifflin,15,"['African American women', 'Racially mixed people']",English
0441231942,Crisis on Doona,Anne McCaffrey,1992,Ace Books,3,"['Fiction', 'Treaties']",English
0886773768,Sword-Dancer (Sword (DAW Fantasy)),Jennifer Roberson,1986,Daw Books,3,"['Tiger and Del', 'Del (Fictitious character)']",English
0345301064,Ride Pegasus,Anne Mccaffrey,1978,Ballantine Books,2,"['Fiction', 'The Talents Saga']",English
0226462110,Highroad to the Stake: A Tale of Witchcraft,Michael Kunze,1987,Univ of Chicago Pr,2,"['History', 'Witchcraft']",English
014019536X,"Drawing Down the Moon: Witches, Druids, Goddess-Worshippers, and Other Pagans in America Today",Margot Adler,1997,Penguin Books,6,"['Cults', 'Women and religion']",English
0380816555,Practical Demonkeeping,Christopher Moore,2000,Perennial,19,"['Humor (Fiction)', 'Fiction']",English
0684848066,In the Meantime : Finding Yourself and the Love You Want,Iyanla Vanzant,1999,Fireside,12,"['Intimacy (Psychology)', 'Love']",English
0449211827,Plague Dogs,RICHARD ADAMS,1986,Fawcett,8,"['Fantasy fiction', 'Fiction in English']",English
0441627404,The Once and Future King,T. H. White,1987,Ace Books,29,,English
0553562738,Doomsday Book,Connie Willis,1993,Spectra Books,28,"['Black Death', 'Fantasy']",English
0812555031,The Horse Goddess (Celtic World of Morgan Llywelyn),Morgan Llywelyn,1998,Tor Books,3,"['Fiction, general']",English
0812536509,Pride of Lions (Celtic World of Morgan Llywelyn),Morgan Llywelyn,1997,Tor Books,3,"['Fiction, historical, general', 'Ireland, fiction']",English
0812553993,Lion of Ireland (Celtic World of Morgan Llywelyn),Morgan Llywelyn,1996,Tor Books,3,"['Biographical fiction', 'Fiction']",English
0380708892,"Merlin (The Pendragon Cycle , Book 2)",Stephen R. Lawhead,1990,Eos,8,"['Merlin (Legendary character)', 'Fiction']",German
038070613X,Taliesin : Book One of the Pendragon Cycle (Pendragon Cycle),Stephen R. Lawhead,1990,Avon,18,"['Adaptations', 'Arthurian romances']",English
0380805421,Smart Vs. Pretty,Valerie Frankel,2000,Avon Trade,6,"['Fiction', 'Romance']",English
0375708707,Where You Once Belonged,KENT HARUF,2000,Vintage Books,6,"['Fiction, general', 'Studentin']",English
0802134475,Rain,Kirsty Gunn,1996,Grove Press,6,"['Brothers and sisters', 'Fiction']",English
0151003084,The Gashlycrumb Tinies,Edward Gorey,1997,Harcourt,4,"['Alphabet', 'American wit and humor, Pictorial']",English
0553274066,Triumph of the Darksword (Darksword Trilogy),MARGARET WEIS,1997,Spectra,7,"['Fantasy', 'Fiction, fantasy, general']",English
0340767278,Soldiers Return Uk,Melvyn Bragg,2000,Trafalgar Square,4,"['Soldiers', 'Fiction']",English
0679750932,My Idea of Fun,WILL SELF,1995,Vintage,3,"['Fiction', 'Humor (Fiction)']",English
042516098X,Hornet's Nest,Patricia Daniels Cornwell,1998,Berkley Publishing Group,64,"['Police', 'Fiction']",English
0375701168,Doctor Faustus : The Life of the German Composer Adrian Leverkuhn As Told by a Friend,Thomas Mann,1999,Vintage Books USA,2,"['Fiction', 'History']",English
0446613266,Four Blind Mice,James Patterson,2003,Warner Books,44,"['Fiction', 'Police']",English
038549081X,The Handmaid's Tale : A Novel,Margaret Atwood,1998,Anchor,67,"['brothels', 'Canadian authors']",English
0312267460,Headlong (Bestselling Backlist),Michael Frayn,2000,Picador USA,13,"['Literature', 'Art historians']",English
0552998486,Chocolat,Joanne Harris,2000,Black Swan,53,"['Literature', 'Cities and towns']",English
0099759713,Rancid Aluminum,James Hawes,1998,Trafalgar Square,4,"['Gangsters', 'Bankruptcy']",English
1853260193,Vanity Fair (Wordsworth Collection),William Makepeace Thackeray,1998,NTC/Contemporary Publishing Company,6,"['Social life and customs, fiction', 'Women, fiction']",German
1853260967,Confessions of an English Opium Eater,T. De Quincey,1999,Lb May &amp; Assoc Inc,5,"['Biography', 'Opium abuse']",English
0140440151,Madame Bovary (Classics S.),Gustave Flaubert,1970,Penguin Books Ltd,9,"['literary fiction', 'French literature']",English
0671041789,The Green Mile,Stephen King,1999,Pocket,94,"['horror fiction', 'fiction']",English
0439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,Scholastic,137,"['orphans', 'foster homes']",English
0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic,126,"['series:Harry_Potter', 'Fantasy fiction']",English
1575665379,The 10th Kingdom (Hallmark Entertainment Books),Kathryn Wesley,2000,Kensington Publishing Corporation,7,"['Motion Pictures', 'Television']",English
0441005489,"Redwall (Redwall, Book 1)",Brian Jacques,1998,Ace Books,45,"[""Children's fiction"", 'Fantasy fiction']",English
0449909050,"Thinking Out Loud : On the Personal, the Political, the Public and the Private",ANNA QUINDLEN,1994,Ballantine Books,3,"['Essays', 'Newspapers, sections, columns, etc.']",English
0064470059,Where the Lilies Bloom,Bill Cleaver,1989,HarperTrophy,4,"['Brothers and sisters', ""Children's stories""]",English
0380726297,Sacred,Dennis Lehane,1998,HarperTorch,12,"['Fiction', 'Patrick Kenzie (Fictitious character)']",English
0553292056,ANOTHER ROADSIDE ATTRACTION,TOM ROBBINS,1991,Bantam,8,"['Fiction', 'Fiction in English']",English
1860119190,London-Paris,Dana Facaros,1999,Everyman Publishers,2,,English
0553213512,The Time Machine (Bantam Classics),H. G. Wells,1984,Bantam,10,"['Self-experimentation in medicine in fiction', 'Fiction']",English
0060933577,Faithless: Tales of Transgression,Joyce Carol Oates,2002,Ecco,4,"['Social life and customs', 'United States in fiction']",English
044023672X,Answered Prayers,DANIELLE STEEL,2003,Dell,12,"['Married women', 'Literature']",English
0394839129,I Can Read With My Eyes Shut (I Can Read It All by Myself Beginner Books),Dr. Seuss,1978,Random House Children's Books,10,"['1978', 'Dr. Seuss']",English
0440180295,Slaughterhouse Five or the Children's Crusade: A Duty Dance With Death,Kurt Vonnegut,1991,Laurel,83,"['American science fiction', 'bombing of Dresden']",English
014044582X,The Last Days of Socrates: Euthyphro/Apology/Crito/Phaedo (Penguin Classics),Plato,1995,Penguin Books,3,"['Philosophers', 'Biography']",English
0884270610,The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,1992,North River Press,9,"['Fiction', 'Manufacturing industries']",English
351836605X,Stiller,Max Frisch,1954,Suhrkamp,8,"['Fiction', 'Prisoners']",German
1573229083,My Dream of You,Nuala O'Faolain,2002,Riverhead Books,18,"['Ireland, fiction', 'Fiction, historical']",English
034540047X,The Hotel New Hampshire,John Irving,1995,Ballantine Books,16,"['American literature', 'Hotels']",English
0140255842,Drinking the Rain,Alix Kates Shulman,1996,Penguin Books,4,"['Biography', 'American Authors']",English
0380805995,Kiss of the Bees: A Novel of Suspense,J.A. Jance,2001,Avon,20,"['Kidnapping', 'Psychopaths']",English
0425169375,The Best of Friends: Joanna Trollope,Joanna Trollope,1999,Berkley Publishing Group,3,"['1990s', 'England']",English
0449003795,P Is for Peril,Sue Grafton,2002,Ballantine Books,81,"['Women private investigators', 'Fiction']",English
055357874X,Finding Mr. Right,EMILY CARMICHAEL,1999,Bantam,3,"['Reincarnation', 'Dogs']",English
3379017159,Manhattan fliegt.,Michael Wallner,2000,"Reclam, Leipzig",2,"['Magic realism (Literature)', 'Actors, fiction']",unknown
0374190771,Looking for a Ship,John McPhee,1990,Farrar Straus &amp; Giroux,3,"['Seafaring life', 'Stella Lykes (Ship)']",English
0060935464,To Kill a Mockingbird,Harper Lee,2002,Perennial Classics,26,"['fiction', 'fiction classics']",English
0446322180,Name of the Rose-Nla,Umberto Eco,1984,Warner Books,26,"['Novela de misterio', 'History']",English
1551668998,Beach House,Mary Alice Monroe,2002,Mira,38,"['Loggerhead turtle', 'Fiction']",English
0515116173,Decider,Dick Francis,1995,Jove Books,12,"['Detective and mystery stories', 'Open Library Staff Picks']",English
042516828X,Sudden Mischief,Robert B. Parker,1999,Berkley Publishing Group,15,"['Fund raising', 'Sexual harassment of women']",English
1853261092,Black Beauty (Wordsworth Collection),A. Sewell,1998,NTC/Contemporary Publishing Company,5,"['Children: Grades 4-6', ""Children's fiction""]",English
8479534451,Quién se ha llevado mi queso,Spencer Johnson,1999,Urano Ediciones S.A.,4,"['Cambio (Psicología)', 'Change (Psychology)']",Spanish
0446519081,The Tenth Insight : Holding the Vision,James Redfield,1996,Warner Books,26,"['Fiction', 'Spiritual life']",English
044651862X,The Celestine Prophecy (Celestine Prophecy),James Redfield,1994,Warner Books,72,"['divinity', 'synchronicity']",English
0688002307,Zen and the Art of Motorcycle Maintenance : An Inquiry into Values,Robert M. Pirsig,1974,William Morrow,2,"['Pirsig, Robert M.', 'Biography']",English
0922729611,"Karma and Reincarnation: Transcending Your Past, Transforming Your Future (Pocket Guides to Practical Spirituality Series)",Elizabeth Clare Prophet,2001,Summit University Press,2,"['Reincarnation', 'Karma']",English
0767902335,Work as a Spiritual Practice : A Practical Buddhist Approach to Inner Growth and Satisfaction on the Job,LEWIS RICHMOND,2000,Broadway,6,"['Religious aspects of Job satisfaction', 'Buddhism']",English
1577311523,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,1999,New World Library,11,"['Religion & Spirituality', 'nyt:paperback_advice=2012-01-14']",English
1567185126,"Energy Focused Meditation: Body, Mind, Spirit",Genevieve Lewis Paulson,2000,Llewellyn Publications,2,"['Meditation', 'Psychic ability']",English
0875425011,"Charms, Spells, and Formulas",Ray T. Malbrough,1986,Llewellyn Publications,3,"['Incantations', 'Magic']",English
0875426638,The Golden Dawn: A Complete Course in Practical Ceremonial Magic/4 in 1 (Llewellyn's Golden Dawn Series),Israel Regardie,1989,Llewellyn Publications,2,"['Hermetic Order of the Golden Dawn', 'occult']",English
1882723007,Embraced by the Light,Betty J. Eadie,1992,Gold Leaf Press (MI),17,"['Near-death experiences', 'Experiencias cercanas a la muerte']",English
0883681056,The Practice of the Presence of God,Brother Lawrence,1982,Whitaker House,4,"['Catholic authors', 'Christian life']",English
0874776945,The Artist's Way : A Spiritual Path to Higher Creativity,Julia Cameron,1992,Jeremy P. Tarcher,32,"['Problems, exercises', 'Creation (Literary, artistic, etc.)']",English
0875422462,Crystal Healing: The Next Step (Llewellyn's New Age),Phyllis Galde,1988,Llewellyn Publications,3,"['Miscellanea', 'Quartz crystals']",English
043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic,206,"[""Children's Books/Ages 9-12 Fiction"", 'Witches and warlocks']",English
1570627193,Confessions of a Pagan Nun,KATE HORSLEY,2001,Shambhala,3,"['Druids and Druidism', 'Nuns']",English
0439313899,Conversations with God for Teens,Neale Donald Walsch,2002,Scholastic,4,"['Juvenile literature', 'Religious life']",English
0609608045,May the Angels Be With You: A Psychic Helps You Find Your Spirit Guides and Your True Purpose,Gary Quinn,2001,Harmony,3,"['Guides (Spiritualism)', 'Guardian angels']",unknown
1855381125,Witch Alone: Thirteen Moons to Master Natural Magic,Marian Green,1991,Aquarian Press,3,"['Witchcraft', 'Magic']",English
1566199646,The Runes,Horik Svensson,1995,Barnes &amp; Noble Inc,2,"['Fortune-telling by runes', 'Runes']",unknown
0738700339,Llewellyn's 2002 Magical Almanac,Bernyce Barlow,2001,Llewellyn Publications,3,"['Occultism', 'American Almanacs']",English
0875423248,Modern Magick: Eleven Lessons in the High Magickal Arts (Llewellyn's High Magick),Donald Michael Kraig,1988,Llewellyn Publications,5,['Magic'],English
0425158640,Idoru,William Gibson,1997,Berkley Publishing Group,25,"['Fiction', 'Virtual reality']",English
1863739157,1988,Andrew McGahan,1995,Allen &amp; Unwin,2,"['Fiction', 'Young men']",English
068483183X,TOUCHED WITH FIRE: Manic Depressive Illness and the Artistic Temperament,Kay Redfield Jamison,1996,Free Press,6,"['Creative ability', 'Mental health']",English
0380723336,Bully : Does Anyone Deserve to Die?,Jim Schutze,1998,Avon,4,"['Case studies', 'Murder']",English
0553210823,The Canterbury Tales (Bantam Classics),Geoffrey Chaucer,1982,Bantam,12,"['Death', 'English Narrative poetry']",enm
0395771552,The Clay Marble: And Related Readings (Literature Connections),Minfong Ho,1997,Houghton Mifflin Company,3,"['Juvenile fiction', 'Fiction']",English
1932560491,Bedtime Stories for Women,Nancy Madore,2003,Llumina Press,3,"['Adaptations', 'American Erotic stories']",English
0140304770,A Wizard of Earthsea (Pelican Books),Ursula K. Le Guin,1971,Penguin Books,10,"['Fiction', 'Magic']",English
0140444572,The Aeneid (Penguin Classics),Virgil,1991,Penguin Books,4,"['Aeneas (Legendary character) in literature', 'Classical literature']",English
0553213113,Moby-Dick,HERMAN MELVILLE,1981,Bantam,6,"['American Sea stories', 'Mentally ill']",English
0440225922,The Poyson Garden: An Elizabethan I Mystery (Elizabeth I Mysteries (Paperback)),Karen Harper,2000,Dell Publishing Company,7,"['Fiction, mystery & detective, women sleuths', 'Fiction, historical']",English
0099993805,Pelican Brief,John Grisham,2007,Trafalgar Square,16,"['White House Chief of Staff', 'Central Intelligence Agency']",Japanese
0060988258,Running In Heels: A Novel,Anna Maxted,2002,Regan Books,15,"['Fiction', 'Young women']",English
0451184963,Insomnia,Stephen King,1995,Signet Book,81,"['Bram Stoker Award for Best Novel', 'suspense']",English
0440220602,The Chamber,John Grisham,1995,Dell Publishing Company,146,"['alcoholism', 'loyalty oaths']",English
0821766929,When Darkness Falls,Shannon Drake,2000,Zebra Books,5,"['Vampires', 'Fiction']",English
0671721135,THROUGH THE ICE,Piers Anthony,1992,Baen,7,"['Fantasy .', 'Magic']",English
0786864516,The Hungry Ocean : A Swordboat Captain's Journey,Linda Greenlaw,1999,Hyperion,7,"['Anecdotes', 'Open Library Staff Picks']",English
042513525X,Hideaway,Dean R. Koontz,1992,Berkley Publishing Group,47,"['Fiction', 'Literary Anthologies']",English
0060688246,"Severe Mercy, A",Sheldon Vanauken,1987,HarperSanFrancisco,2,"['Anglicans', 'Biography']",English
0399149422,The Cat Who Brought Down the House,Lilian Jackson Braun,2003,Putnam Publishing Group,17,"['Fiction', 'Cozy Mystery']",English
0440972329,A Ring of Endless Light (Austin Family),Madeleine L'Engle,1981,Laure Leaf,12,"['Death', 'Grandparent and child']",English
0451156609,The Tommyknockers,Stephen King,1994,Signet Book,75,"['aliens', 'paranormal fiction']",English
0590298364,"Sunny (California Diaries, 2)",Ann M. Martin,1997,Scholastic,2,"['Fiction', 'Diaries']",English
0380016699,Your Erroneous Zones,Wayne W. Dyer,1977,Avon Books,7,"['Self-actualization (Psychology)', 'Fear']",English
034530988X,Friday,Robert Heinlein,1988,Del Rey Books,23,"['Science fiction', 'Fiction']",English
0380728184,Kokopelli's Flute,Will Hobbs,1997,HarperTrophy,2,"['Antiquities', 'Fiction']",English
0140298924,The Uncle's Story,Witi Tame Ihimaera,2000,Penguin USA,2,"['Vietnamese Conflict, 1961-1975', 'Maori (New Zealand people)']",English
9722105248,O Evangelho segundo Jesus Cristo: Romance,José Saramago,1991,Caminho,5,"['Fiction', 'Bible']",Portuguese
2020239302,Le Vieux Qui Lisait Les Romans Damour,Luis Sepulveda,1995,Points French,6,,French
8432055913,No Digas Que Fue UN Sueno: Marco Antonio Y Cleopatra/Don't Tell It Was a Dream (Colección Autores españoles e hispanoamericanos),Terenci Moix,1986,Lectorum Pubns (J),5,"['Fiction', 'History']",Spanish
0590187554,"Cub in the Cupboard (Animal Ark Series, No 8)",Ben M. Baglio,1999,Scholastic,2,"[""Children's fiction"", 'Animals, fiction']",English
060980748X,A Trip to the Beach: Living on Island Time in the Caribbean,Melinda Blanchard,2001,Three Rivers Press (CA),7,"['Biography & Autobiography', 'Description and travel']",English
1400031354,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,Anchor,95,"['Fiction, mystery & detective, women sleuths', 'Botswana, fiction']",English
0007106130,To Hell in a Handcart,Richard Littlejohn,2001,HarperCollins UK,2,"['Fiction', 'Trials']",English
0486277909,Self-Reliance and Other Essays (Dover Thrift Editions),Ralph Waldo Emerson,1993,Dover Publications,2,"['English prose', 'United States']",English
0394578198,Polar Star,Martin Cruz Smith,1989,Random House Inc,6,"['Arkady Renko (Fictious character)', 'Arkady Renko (Fictitious character)']",English
